date,Account,daily_pnl,num_trades,winning_trades,losing_trades,win_rate,avg_trade_size_usd,total_volume_usd,long_trades,short_trades,long_pct,sentiment_score,sentiment_class,sentiment_class_lag1,sentiment_score_lag1,sentiment_transition,is_transition_day,rolling_3d_pnl,num_trades_lag1,win_rate_lag1,avg_trade_size_usd_lag1,long_pct_lag1,total_volume_usd_lag1
2025-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,136208.043913,4885,3901.0,375.0,0.9123012160898035,2330.3033080859777,11383531.66,2321.0,2564.0,0.47512794268167863,44,Fear,Neutral,47.0,Neutral -> Fear,True,173734.53851,1016.0,0.9339305711086227,2056.391348425197,0.5364173228346457,2089293.61
2025-02-19,0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14781.443047,1554,701.0,41.0,0.944743935309973,3643.361287001287,5661783.44,687.0,867.0,0.4420849420849421,44,Fear,Neutral,47.0,Neutral -> Fear,True,14781.443047,,,,,
2024-10-27,0x8170715b3b381dffb7062c0298972d4727a0a63b,0.0,15,0.0,0.0,0.0,2333.2533333333336,34998.8,15.0,0.0,1.0,74,Greed,Greed,72.0,Greed -> Greed,False,0.0,,,,,
2025-02-19,0x8170715b3b381dffb7062c0298972d4727a0a63b,196303.792847,3056,879.0,194.0,0.8191985088536813,2249.731112565445,6875178.28,979.0,2077.0,0.32035340314136124,44,Fear,Neutral,47.0,Neutral -> Fear,True,196303.792847,15.0,0.0,2333.2533333333336,1.0,34998.8
2024-10-27,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,11.717676000000012,54,2.0,5.0,0.2857142857142857,933.2848148148149,50397.380000000005,47.0,7.0,0.8703703703703703,74,Greed,Greed,72.0,Greed -> Greed,False,11.717676000000012,,,,,
2025-02-19,0x8381e6d82f1affd39a336e143e081ef7620a3b7f,64510.169958,1802,613.0,76.0,0.8896952104499274,6453.556398446171,11629308.63,1071.0,731.0,0.5943396226415094,44,Fear,Neutral,47.0,Neutral -> Fear,True,64521.887634,54.0,0.2857142857142857,933.2848148148149,0.8703703703703703,50397.380000000005
2024-07-03,0x8477e447846c758f5a675856001ea72298fd9cb5,-9125.157325,3810,1240.0,430.0,0.7425149700598802,772.3728871391077,2942740.7,1706.0,2104.0,0.4477690288713911,50,Neutral,Neutral,51.0,Neutral -> Neutral,False,-9125.157325,,,,,
2024-10-27,0x8477e447846c758f5a675856001ea72298fd9cb5,39978.37791,1804,585.0,73.0,0.8890577507598785,1376.8141407982262,2483772.71,625.0,1179.0,0.3464523281596452,74,Greed,Greed,72.0,Greed -> Greed,False,30853.220585000003,3810.0,0.7425149700598802,772.3728871391077,0.4477690288713911,2942740.7
2025-02-19,0x8477e447846c758f5a675856001ea72298fd9cb5,46257.358187,5602,1722.0,328.0,0.84,658.3625776508391,3688147.16,2453.0,3149.0,0.4378793288111389,44,Fear,Neutral,47.0,Neutral -> Fear,True,77110.57877200001,1804.0,0.8890577507598785,1376.8141407982262,0.3464523281596452,2483772.71
2024-10-27,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,8695.357326,724,55.0,0.0,1.0,2936.1985911602205,2125807.78,642.0,82.0,0.8867403314917127,74,Greed,Greed,72.0,Greed -> Greed,False,8695.357326,,,,,
2025-02-19,0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,100502.420808,2080,812.0,21.0,0.9747899159663865,3430.149134615385,7134710.2,1218.0,862.0,0.5855769230769231,44,Fear,Neutral,47.0,Neutral -> Fear,True,109197.778134,724.0,1.0,2936.1985911602205,0.8867403314917127,2125807.78
2024-10-27,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,49180.714882,4211,1763.0,49.0,0.9729580573951435,1636.15022559962,6889828.6,2398.0,1813.0,0.56946093564474,74,Greed,Greed,72.0,Greed -> Greed,False,49180.714882,,,,,
2025-02-19,0xa0feb3725a9335f49874d7cd8eaad6be45b27416,40314.808014,9274,2968.0,116.0,0.9623865110246433,1157.8793541082598,10738173.13,6130.0,3144.0,0.6609877075695493,44,Fear,Neutral,47.0,Neutral -> Fear,True,89495.52289600001,4211.0,0.9729580573951435,1636.15022559962,0.56946093564474,6889828.6
2024-07-03,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-14505.50575,39,0.0,6.0,0.0,7877.326666666667,307215.74,31.0,8.0,0.7948717948717948,50,Neutral,Neutral,51.0,Neutral -> Neutral,False,-14505.50575,,,,,
2024-10-27,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,67900.247545,283,155.0,2.0,0.9872611464968153,1684.2025795053005,476629.33,125.0,158.0,0.4416961130742049,74,Greed,Greed,72.0,Greed -> Greed,False,53394.74179500001,39.0,0.0,7877.326666666667,0.7948717948717948,307215.74
2025-02-19,0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,19451.742477,95,84.0,8.0,0.9130434782608695,820.6771578947369,77964.33,0.0,95.0,0.0,44,Fear,Neutral,47.0,Neutral -> Fear,True,72846.484272,283.0,0.9872611464968153,1684.2025795053005,0.4416961130742049,476629.33
2024-10-27,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,20925.513222,190,105.0,0.0,1.0,3387.3391578947367,643594.44,84.0,106.0,0.4421052631578947,74,Greed,Greed,72.0,Greed -> Greed,False,20925.513222,,,,,
2025-02-19,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,8751.751449,182,49.0,0.0,1.0,3072.9576923076925,559278.3,133.0,49.0,0.7307692307692307,44,Fear,Neutral,47.0,Neutral -> Fear,True,29677.264671,190.0,1.0,3387.3391578947367,0.4421052631578947,643594.44
2024-10-27,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,55.01524,9,2.0,0.0,1.0,1862.9299999999998,16766.37,7.0,2.0,0.7777777777777778,74,Greed,Greed,72.0,Greed -> Greed,False,55.01524,,,,,
2025-02-19,0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21703.816512999998,525,170.0,58.0,0.7456140350877193,8441.060742857142,4431556.89,297.0,228.0,0.5657142857142857,44,Fear,Neutral,47.0,Neutral -> Fear,True,21758.831753,9.0,1.0,1862.9299999999998,0.7777777777777778,16766.37
2023-11-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,155.50335699999994,1043,287.0,196.0,0.5942028985507246,11034.799511025887,11509295.89,489.0,554.0,0.46883988494726747,69,Greed,Greed,72.0,Greed -> Greed,False,155.50335699999994,,,,,
2024-03-09,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2606.8947559999997,3076,673.0,760.0,0.4696441032798325,7639.724411573472,23499792.29,1513.0,1563.0,0.49187256176853056,84,Extreme Greed,Extreme Greed,81.0,Extreme Greed -> Extreme Greed,False,2762.3981129999997,1043.0,0.5942028985507246,11034.799511025887,0.46883988494726747,11509295.89
2024-07-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,62586.1816,1643,345.0,31.0,0.9175531914893617,2875.2178940961658,4723983.0,1019.0,624.0,0.6202069385270846,50,Neutral,Neutral,51.0,Neutral -> Neutral,False,65348.57971300001,3076.0,0.4696441032798325,7639.724411573472,0.49187256176853056,23499792.29
2024-10-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1421755.845871,1268,719.0,175.0,0.8042505592841164,2166.171861198738,2746705.92,148.0,1120.0,0.1167192429022082,74,Greed,Greed,72.0,Greed -> Greed,False,1486948.9222270001,1643.0,0.9175531914893617,2875.2178940961658,0.6202069385270846,4723983.0
2025-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,553818.000465,7380,2886.0,150.0,0.950592885375494,1818.587241192412,13421173.84,3477.0,3903.0,0.4711382113821138,44,Fear,Neutral,47.0,Neutral -> Fear,True,2038160.0279360001,1268.0,0.8042505592841164,2166.171861198738,0.1167192429022082,2746705.92
2025-02-19,0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4838,2122.0,519.0,0.8034835289663006,22504.555828854896,108877041.1,2368.0,2470.0,0.48945845390657294,44,Fear,Neutral,47.0,Neutral -> Fear,True,22488.500821,,,,,
2025-02-19,0xbaaaf6571ab7d571043ff1e313a9609a10637864,940157.212682,21190,9907.0,88.0,0.9911955977988994,3210.7751864086836,68036326.2,11195.0,9995.0,0.5283152430391694,44,Fear,Neutral,47.0,Neutral -> Fear,True,940157.212682,,,,,
2024-10-27,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,11671.68,267,41.0,12.0,0.7735849056603774,2725.7805992509366,727783.42,49.0,218.0,0.18352059925093633,74,Greed,Greed,72.0,Greed -> Greed,False,11671.68,,,,,
2025-02-19,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,325441.97721599997,2211,823.0,209.0,0.7974806201550387,8103.972912709181,17917884.11,1054.0,1157.0,0.4767073722297603,44,Fear,Neutral,47.0,Neutral -> Fear,True,337113.65721599996,267.0,0.7735849056603774,2725.7805992509366,0.18352059925093633,727783.42
2024-10-27,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,684215.002602,9883,5626.0,1185.0,0.8260167376303039,2693.2837964180917,26617723.76,3092.0,6791.0,0.3128604674693919,74,Greed,Greed,72.0,Greed -> Greed,False,684215.002602,,,,,
2025-02-19,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,126967.976166,26651,10257.0,3769.0,0.7312847568800799,1554.8373344339798,41437969.8,12568.0,14083.0,0.4715770515177667,44,Fear,Neutral,47.0,Neutral -> Fear,True,811182.978768,9883.0,0.8260167376303039,2693.2837964180917,0.3128604674693919,26617723.76
